2020-06-16 11:36:01.789 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 Redis repository interfaces.
2020-06-16 11:36:02.051 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-06-16 11:36:02.058 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-06-16 11:36:02.058 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-16 11:36:02.058 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-06-16 11:36:02.106 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-06-16 11:36:02.106 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 919 ms
2020-06-16 11:36:02.226 [main] INFO  org.redisson.Version - Redisson 3.3.2
2020-06-16 11:36:02.506 [redisson-netty-1-11] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for /127.0.0.1:7000
2020-06-16 11:36:02.513 [redisson-netty-1-7] INFO  org.redisson.connection.pool.MasterConnectionPool - 50 connections initialized for /127.0.0.1:7000
2020-06-16 11:36:02.531 [main] INFO  com.test.demo.config.RedisConfig - JedisPool注入成功！
2020-06-16 11:36:02.531 [main] INFO  com.test.demo.config.RedisConfig - redis地址：127.0.0.1:7000
2020-06-16 11:36:02.787 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-16 11:36:02.929 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-06-16 11:36:02.934 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'; nested exception is org.springframework.boot.web.server.PortInUseException: Port 8080 is already in use
2020-06-16 11:36:02.935 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-06-16 11:36:02.945 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
2020-06-16 11:36:02.945 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-06-16 11:36:02.948 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2020-06-16 11:36:02.948 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8080"]
2020-06-16 11:36:02.953 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-06-16 11:36:02.955 [main] ERROR o.s.b.diagnostics.LoggingFailureAnalysisReporter - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Web server failed to start. Port 8080 was already in use.

Action:

Identify and stop the process that's listening on port 8080 or configure this application to listen on another port.

2020-06-16 11:36:22.711 [main] INFO  com.test.demo.DemoApplication - Starting DemoApplication on bogon with PID 49728 (/Users/chao/IdeaProjects/ranking-list-redis-2/target/classes started by chao in /Users/chao/IdeaProjects/ranking-list-redis-2)
2020-06-16 11:36:22.713 [main] INFO  com.test.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-06-16 11:36:23.160 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-06-16 11:36:23.162 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-06-16 11:36:23.181 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 Redis repository interfaces.
2020-06-16 11:36:23.441 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-06-16 11:36:23.447 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-06-16 11:36:23.448 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-16 11:36:23.448 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-06-16 11:36:23.509 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-06-16 11:36:23.509 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 769 ms
2020-06-16 11:36:23.633 [main] INFO  org.redisson.Version - Redisson 3.3.2
2020-06-16 11:36:23.798 [redisson-netty-1-14] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for /127.0.0.1:7000
2020-06-16 11:36:23.804 [redisson-netty-1-6] INFO  org.redisson.connection.pool.MasterConnectionPool - 50 connections initialized for /127.0.0.1:7000
2020-06-16 11:36:23.821 [main] INFO  com.test.demo.config.RedisConfig - JedisPool注入成功！
2020-06-16 11:36:23.822 [main] INFO  com.test.demo.config.RedisConfig - redis地址：127.0.0.1:7000
2020-06-16 11:36:24.145 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-16 11:36:24.276 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-06-16 11:36:24.287 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-06-16 11:36:24.295 [main] INFO  com.test.demo.DemoApplication - Started DemoApplication in 1.847 seconds (JVM running for 2.269)
2020-06-16 11:36:26.730 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-06-16 11:37:15.106 [main] INFO  com.test.demo.DemoApplication - Starting DemoApplication on bogon with PID 49741 (/Users/chao/IdeaProjects/ranking-list-redis-2/target/classes started by chao in /Users/chao/IdeaProjects/ranking-list-redis-2)
2020-06-16 11:37:15.108 [main] INFO  com.test.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-06-16 11:37:15.736 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-06-16 11:37:15.738 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-06-16 11:37:15.757 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
2020-06-16 11:37:16.031 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-06-16 11:37:16.037 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-06-16 11:37:16.037 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-16 11:37:16.038 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-06-16 11:37:16.083 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-06-16 11:37:16.084 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 948 ms
2020-06-16 11:37:16.130 [main] INFO  com.test.demo.config.RedisConfig - JedisPool注入成功！
